source_dataset,row_index,file,failure_mode,true_label,RotationSpeed,CWT_DominantScale,CWT_EnergyEntropy,CWT_MaxScaleEnergy,CWT_MinScaleEnergy,CWT_TotalEnergy,ClearanceFactor,CrestFactor,FFT_DominantFreq,FFT_FrequencyBandwidth,FFT_SpectralCentroid,FFT_SpectralFlatness,FFT_SpectralSpread,ImpulseFactor,MaxForceBelow3mm,Mean,MinPositionStage3,PeakValue,PlungeVelocity,RMS,ShapeFactor,StandardDeviation,model_predicted_class,model_probability_class1,loocv_held_out_prediction,loocv_held_out_correct
data_processed/WSU_TM_Ans_Dat_full_3.csv,21,l065.fsj,NP,0,1400.0,32.0,0.3382188124391959,11004.640727087832,1.9637864175258943,11992.000156715212,1.4511099699770973,1.430224400037576,0.12537695753386,0.12537695753386,1.0335419257010103,0.0032499486282331,6.261824206923497,1.4436793008471915,14.077,12.872664994984955,2.17,18.584,0.6345177664974617,12.993765173850862,1.009407545283986,1.7700889753896305,0,0.0,0,True
data_processed/WSU_TM_Ans_Dat_full_3.csv,22,l066.fsj,NP,0,1400.0,32.0,0.2902663244473165,10253.17133993652,1.6692023482314255,10977.540557703762,1.4581476756134089,1.4367562925649304,0.1252826891447368,0.1252826891447368,1.3542614947799545,0.0052152272460012,7.588373425182629,1.4505134172384702,13.913,12.752725883237284,2.08,18.498,0.6361323155216281,12.87483485941582,1.0095751274901188,1.7692200269577936,0,0.0,0,True
data_processed/WSU_TM_Ans_Dat_full_3.csv,23,l067.fsj,NP,0,1400.0,32.0,0.3108432680307725,10529.64726008872,1.721756054514947,11362.603710687748,1.4583157268892746,1.436550640449736,0.1253455189788114,0.1253455189788114,1.1612217412844168,0.0041156346572387,6.866633162804469,1.4505543286473015,13.745,12.580018300325897,2.14,18.248,0.6345177664974617,12.702650004936244,1.009748134039453,1.7610321285796258,0,0.0,0,True
data_processed/WSU_TM_Ans_Dat_full_3.csv,24,l068.fsj,IF,1,1600.0,32.0,0.3467903403015697,11402.69433412679,2.113810641253428,12463.101535528776,1.4409044054146305,1.4217317371052185,0.247955322265625,0.247955322265625,3.7570707293119865,0.0067048761184564,17.053382685014476,1.4341433391294836,13.854,12.76441447694596,2.34,18.306,1.1792452830188682,12.875846773507895,1.0087299183807603,1.690730739731919,1,1.0,1,True
data_processed/WSU_TM_Ans_Dat_full_3.csv,25,l069.fsj,IF,1,1600.0,32.0,0.738561437987457,5477.035107718695,4.218756578847521,7265.720759583132,1.1452876954639288,1.1275454159713016,0.7239361762309919,0.3619680881154961,2.3649500409732176,0.0014032063082906,11.65875920514947,1.1391225154039353,13.974,12.267337192474674,2.4,13.974,1.1415525114155247,12.393292369480632,1.0102675238342047,1.7630607344662257,1,1.0,1,True
data_processed/WSU_TM_Ans_Dat_full_3.csv,26,l070.fsj,IF,1,1600.0,32.0,0.3271677623174555,11032.79191689232,1.965596954476018,11969.296924524757,1.4357754582555105,1.4171925735929685,0.2478323895327218,0.2478323895327218,4.404402566927888,0.0092145151870191,19.57962581171915,1.429218339909499,13.99,12.878368186323092,2.31,18.406,1.173708920187793,12.987649203760492,1.0084856261178692,1.6816854990509302,1,1.0,1,True
data_processed/WSU_TM_Ans_Dat_full_3.csv,27,l071.fsj,IF,1,1800.0,32.0,0.3181758804436181,11432.882272827022,2.043226166892921,12358.726610194622,1.452149266890559,1.432104050886455,0.6008148193359375,0.3004074096679687,6.282162352888513,0.010903831287782,25.47865097156622,1.445128425386324,14.271,12.968397597597596,2.42,18.741,1.582278481012657,13.086339633212788,1.009094572766418,1.753509472579751,1,1.0,1,True
data_processed/WSU_TM_Ans_Dat_full_3.csv,28,l072.fsj,IF,1,1800.0,32.0,0.3085650057208869,10859.863781567205,1.933542913207068,11695.415210960491,1.4549161259538668,1.4343410926629143,0.5997335689112178,0.2998667844556089,7.100544920296908,0.0128244625497557,27.30952521982121,1.4476811881862293,14.209,12.942766786570743,2.39,18.737,1.6233766233766245,13.063141044933722,1.0093005043162702,1.7698360821885235,1,1.0,1,True
data_processed/WSU_TM_Ans_Dat_full_3.csv,29,l073.fsj,IF,1,1800.0,32.0,0.3200461182136344,11205.857547381283,2.0115917593076538,12121.773960501056,1.4589570104002898,1.43894148292701,0.6004539695945945,0.3002269847972972,6.54745466221759,0.0114622320917601,26.01527800955781,1.4519489762450954,14.236,12.920564225690276,2.39,18.76,1.6129032258064513,13.03736129827845,1.0090396263311738,1.7417320742281537,1,1.0,1,True
data_processed/WSU_TM_Ans_Dat_full_3.csv,30,l074.fsj,IF,1,1600.0,32.0,0.3412214967550674,12184.464130386186,2.2552472580678,13287.662764315295,1.430011973856089,1.4120308427578463,0.5366376056763285,0.2683188028381642,4.529509413695708,0.0081604686132051,20.20512379375952,1.4236992320018569,14.459,13.211357832618026,2.33,18.809,1.1013215859030832,13.320530565227614,1.0082635512558782,1.702384662650393,1,1.0,1,True
data_processed/WSU_TM_Ans_Dat_full_3.csv,31,l075.fsj,IF,1,1600.0,32.0,0.3173294267498964,11504.2922381327,2.04826944810405,12432.226468535611,1.4520441035406857,1.4321637179780689,0.5762281610230547,0.2881140805115273,5.77230997287222,0.0105069776306226,23.99784024549417,1.4450767531221431,14.276,12.96401728110599,2.33,18.734,1.4705882352941164,13.080906718156982,1.009016451807832,1.745316930581324,1,1.0,1,True
data_processed/WSU_TM_Ans_Dat_full_3.csv,32,l076.fsj,IF,1,1600.0,32.0,0.3204873213593048,11302.377157183835,1.9868781560570608,12231.95757981523,1.4549997796186518,1.4350611101007889,0.5578994750976562,0.2789497375488281,5.491067460853934,0.0103794864237724,23.159277748982337,1.4479948410987618,14.116,12.887476854433912,2.33,18.661,1.3368983957219247,13.00362741952458,1.0090126691518135,1.7346309562241164,1,1.0,1,True
data_processed/WSU_TM_Ans_Dat_full_3.csv,33,l080.fsj,NP,0,1800.0,32.0,0.355123220284783,11728.222964691637,2.183000228840711,12862.871818624792,1.4442596363677165,1.4234621831197285,0.1254084118633968,0.1254084118633968,0.914404281566795,0.0022776535164416,5.623798970409846,1.4368428151066888,14.308,13.093986205166791,2.06,18.814,0.6544502617801052,13.21707048006455,1.0094000614457033,1.7998027105350447,0,0.0,0,True
data_processed/WSU_TM_Ans_Dat_full_3.csv,34,l081.fsj,NP,0,1800.0,32.0,0.7339055939479933,5220.462764231483,3.952701352044176,6905.214877414729,1.1317081558216675,1.1121499418872642,0.1550009084302325,0.0,0.6068460287809754,0.0010585991893986,4.149150596004906,1.1247407663496738,13.715,12.280163050216986,2.15,13.812,0.639386189258312,12.419188708099654,1.0113211573261816,1.8533505834540127,0,0.0,0,True
data_processed/WSU_TM_Ans_Dat_full_3.csv,35,l082.fsj,NP,0,1800.0,32.0,0.7360347814143611,5090.206017366473,3.891431622724413,6740.795563649459,1.130123427191806,1.1103893672397342,0.1539507020903911,0.0,0.6192215915783723,0.0011710415308216,4.267773439118091,1.1230787667422586,13.788,12.347308497536943,2.0,13.867,0.6510416666666661,12.488412091401178,1.0114278827561798,1.872295037483933,0,0.0,0,True
data_processed/WSU_TM_Ans_Dat_full_3.csv,36,l084.fsj,NP,0,1600.0,32.0,0.3203418360462392,11425.049567899145,2.0342278710001622,12361.33117924306,1.4385845363944778,1.4206432939034583,0.2373589409722222,0.2373589409722222,4.298125180254427,0.0094657459338171,18.90065274302672,1.4322541133991045,14.174,13.067513526340768,2.17,18.716,1.1737089201877942,13.174313411619758,1.0081729309147995,1.6745013846404038,0,0.0,0,True
data_processed/WSU_TM_Ans_Dat_full_3.csv,37,l085.fsj,NP,0,1600.0,32.0,0.3483644565902928,11454.336156324784,2.1601062083910767,12524.265427717002,1.4455966171947576,1.4268024573740947,0.2335878176109813,0.2335878176109813,3.359271045433337,0.0064919315697919,15.787090558749512,1.438993575265204,14.087,12.888869219990658,2.22,18.547,1.1792452830188682,12.998996395152089,1.008544362836006,1.6888723262255396,0,0.0,1,False
